Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1438,-401760.07521789114,-357065.7486785799,-139786.55407391774,-288008.62526948855,-344541.44644027716,-131680.86432880288,-48597.36000047356,-82104.83531958697,-53105.24697056132,-371623.5444417211,-384262.10325801047,-78010.29400639664,-386214.43240942596,-358441.1384199942,-130830.9281294948,-380981.64780379256,-355906.94632294576,-118927.99201772007,-393070.14027223474,-353283.61635961774,-133013.52157321642
1439,-398980.1460971325,-356718.576959389,-135574.47742315408,-287110.8598179072,-341892.7092752999,-134484.55092198693,-46958.63162224344,-82341.29979714996,-51885.11407488186,-369172.8453676929,-383508.2938272372,-77544.5277380048,-383854.71411579626,-359467.0308253342,-128149.27342236077,-378910.91701080865,-356121.98966436705,-114694.14264131695,-389712.4640926658,-353452.4478690886,-129959.53455747034
1440,-396311.97790324717,-356836.7053571733,-131886.3078673855,-286447.8289996112,-339254.75048917386,-137272.17034917534,-45923.67020032022,-82414.6783693609,-50902.94438922402,-366761.0299793816,-382624.4613485753,-76786.17600044812,-381771.8020832344,-360428.4945095765,-125887.35732862812,-377014.1973620962,-356652.1325610371,-110909.22717648302,-386587.5206584048,-354016.29949554673,-127413.60089151222
1441,-393754.42515767895,-357213.20877451927,-128640.4099164622,-285975.81798622716,-336615.4165200155,-139906.75317732326,-45430.266599492345,-82499.30439994318,-50140.912639972994,-364395.50404113275,-381641.7044717948,-75721.9087488199,-379806.2732720964,-361029.6361802429,-124000.73003553595,-375303.8386772584,-357302.06739106606,-107571.39072079519,-383736.160577644,-354761.8143448365,-125344.26221097921
1442,-391366.01143561234,-357644.1253836284,-125925.00081553942,-285598.44106200157,-334044.9686171531,-142162.37390806977,-45375.21425352353,-82676.93226613499,-49587.92964649832,-362168.10888894484,-380590.3912740059,-74391.62019681073,-377816.89052897505,-361175.6649020768,-122538.26005097944,-373810.2251239276,-357935.1378183613,-104873.63924171215,-381266.70813978306,-355493.27114963665,-123812.65409728144
1443,-389176.2376001704,-358019.05466062226,-123768.06463832868,-285163.6452340344,-331567.76908833056,-144000.96575979207,-45600.96060893916,-82960.1544254223,-49237.23305077377,-360152.36015094444,-379478.98653199064,-72857.86315987654,-375739.1106759267,-361019.67903556844,-121441.49903898902,-372519.6276907975,-358525.8298700629,-102866.16878980542,-379219.11926614365,-356107.576900307,-122812.99002344861
1444,-387124.8073734003,-358340.9589842214,-122105.62323270249,-284528.58755973505,-329063.75807813025,-145590.93550202,-46012.77174212125,-83327.70249242554,-49031.8774952806,-358321.1906203344,-378261.8732503068,-71111.7874510329,-373542.4023736251,-360723.7814495824,-120655.83313930396,-371307.22570906143,-359061.2329318674,-101476.77187768824,-377522.85334569425,-356586.55305817944,-122296.92456344201
1445,-385251.3933619916,-358585.11814851663,-120972.36091111338,-283677.4770508931,-326470.2123861251,-147044.4695121448,-46486.330740515485,-83679.2834276973,-48975.74404163184,-356739.6302039549,-376927.1051442029,-69239.94831261864,-371337.44337003824,-360328.1594097903,-120247.62386473177,-370099.02213063266,-359427.49694499664,-100719.98525454535,-376168.0227774046,-356835.6115682029,-122266.00903370253
1446,-383544.7711274385,-358682.4935681842,-120371.91926544283,-282677.28393092763,-323728.6838068662,-148468.60431032814,-46991.66309868365,-83948.06131590833,-49001.672326005,-355465.8230562315,-375475.69011974084,-67330.75817379021,-369161.24913305783,-359775.8300084974,-120283.62503668458,-368867.594717259,-359557.29015268583,-100543.04330156518,-375033.071229623,-356766.6794867526,-122672.18370168137
1447,-381948.20054053253,-358545.0528872015,-120243.8701635261,-281602.5227119891,-320887.96277381585,-149924.19976321468,-47449.534285932605,-84080.45866730949,-49056.55005731649,-354537.95419871435,-373934.91825060674,-65431.65286548069,-366982.7169899371,-358976.167443477,-120761.48445412418,-367615.3597344022,-359331.4228651885,-100822.7045308267,-373963.3379402274,-356371.08449270565,-123367.81256082858
